a52dec;l
amrnb;l
amrwb;l
armagetronad;games
arpack;l
aspell-bg;l
avahi;n
avifile;l
barcode;ap
base64;ap
blas;l
boost;l
bzr;d
cairomm;l
cbgoffice;ap
ccid;l
celt;l
chmlib;l
cinelerra;video
cvs2svn;d
cvsgraph;d
cwp;xap
cython;d
dbus;l
dbus-glib;l
dbus-python;l
ddd;xap
dirac;l
divx4linux;l
docutils;py
dosbox;xap
enca;l
faac;l
faad2;l
ffmpeg;video
fftw;l
firefox;xap
fltk;d
fluidsynth;audio
foo2zjs;ap
foomatic-filters;ap
freeglut;l
ftgl;l
gbgoffice;xap
glibmm;l
glitz;l
glpk;l
gmp;l
gnugo;y
gnuplot;xap
gocr;ap
graphicsmagick;ap
graphviz;ap
gsm;l
gtkmm;l
hddtemp;ap
highlight;d
htop;ap
icecast;n
icu4c;l
id3lib;l
ilmbase;l
imlib2;l
intltool;d
ispell-bg;l
jack;audio
k3b;xap
k3b-i18n;xap
kbarcode;xap
kbgoffice;xap
kchmviewer;xap
kdesvn;xap
ksudoku;games
ktorrent;xap
ladspa;audio
lame;l
lapack;l
lash;audio
leptonlib;l
libass;l
libasyncns;l
libavc1394;l
libcaca;l
libdaemon;l
libdc1394;l
libdv;l
libdvbcsa;l
libdvbpsi;l
libdvdcss;l
libdvdnav;l
libdvdplay;l
libdvdread;l
libebml;l
libfame;l
libffado;l
libfreebob;l
libgdiplus;l
libggi;l
libgii;l
libgksu;l
libgksuui;l
libgnomecups;l
libgnomeprint;l
libiec61883;l
libkate;l
libmatroska;l
libmodman;l
libmodplug;l
libmpcdec;l
libmpeg2;l
libmpeg3;l
libmspack;l
liboil;l
libproxy;l
libquicktime;l
libraw1394;l
libreoffice;xap
libreoffice-helppack;xap
libreoffice-langpack;xap
libsamplerate;l
libshout;l
libsigc++;l
libsndfile;l
libtiger;l
libtool;d
libupnp;l
libusb;l
libusb-compat;l
libva;l
libvpx;l
libwebp;l
linux-pam;l
lua;d
lzo;l
mailsend;ap
meld;xap
mgeops-psp;xap
mjpegtools;video
mono;d
motion;video
mrtg;n
mysql;n
mysql-connector-c++;l
mysql-connector-odbc;l
mysql-gui-tools;xap
mysql-workbench;xap
net-snmp;n
newt;l
normalize;ap
nut;n
ocaml;d
ocrad;ap
octave;d
opencore-amr;l
opencv;l
openexr;l
openjpeg;l
openmpi;l
openoffice.org;xap
opensc;ap
openvpn;n
opera;xap
orc;d
paramiko;py
partimage;ap
pcsc-lite;n
pcsc-tools;ap
pexpect;py
php;l
pingus;games
pkcs11-helper;l
portaudio;l
powerman;ap
ppracer;games
proftpd;n
pulseaudio;audio
pycairo;l
pycrypto;py
pygobject;l
pygtk;l
qemu;xap
qhull;l
qrupdate;l
rrdtool;ap
rtmpdump;l
schroedinger;l
scons;d
scrollkeeper;d
sim;xap
skype;xap
sloccount;d
smart;ap
smw;games
speex;l
sunbird;xap
swaret;ap
swig;d
swish-e;ap
texi2html;d
thunderbird;xap
transcode;video
twolame;l
unixodbc;l
valgrind;d
valkyrie;xap
vcdimager;video
vlc;xap
wdiff;d
webpconv;ap
wxwidgets;l
x264;l
xchm;xap
xmlrpc++;l
xmlto;d
xmltoman;d
xosd;l
xvidcore;l
yasm;d
zvbi;l
