Date;Type;Name;Branch;Message;Repo
2005-01-22 20:31:42 +0200;files;COPYING README;main;Initial version;
2005-01-22 20:48:22 +0200;submodule;net-snmp;main;;https://github.com/gdsotirov/net-snmp.SlackBuild.git
2005-03-03 17:25:16 +0200;submodule;hddtemp;main;;https://github.com/gdsotirov/hddtemp.SlackBuild.git
2005-03-11 23:01:00 +0200;submodule;mysql;main;;https://github.com/gdsotirov/mysql.SlackBuild.git
2005-03-12 15:06:01 +0200;submodule;php;main;;https://github.com/gdsotirov/php.SlackBuild.git
2005-03-14 20:58:42 +0200;submodule;ffmpeg;main;;https://github.com/gdsotirov/ffmpeg.SlackBuild.git
2005-03-15 21:51:31 +0200;submodule;divx4linux;main;;https://github.com/gdsotirov/divx4linux.SlackBuild.git
2005-03-15 22:28:37 +0200;submodule;faac;main;;https://github.com/gdsotirov/faac.SlackBuild.git
2005-03-15 22:44:40 +0200;submodule;faad2;main;;https://github.com/gdsotirov/faad2.SlackBuild.git
2005-03-16 19:56:03 +0200;submodule;avifile;main;;https://github.com/gdsotirov/avifile.SlackBuild.git
2005-03-16 20:41:08 +0200;submodule;a52dec;main;;https://github.com/gdsotirov/a52dec.SlackBuild.git
2005-03-16 21:17:00 +0200;submodule;transcode;main;;https://github.com/gdsotirov/transcode.SlackBuild.git
2005-03-28 21:43:53 +0300;submodule;mailsend;main;;https://github.com/gdsotirov/mailsend.SlackBuild.git
2005-05-14 13:17:08 +0300;submodule;ddd;main;;https://github.com/gdsotirov/ddd.SlackBuild.git
2005-11-03 21:10:10 +0300;submodule;meld;main;;https://github.com/gdsotirov/meld.SlackBuild.git
2006-01-25 21:35:17 +0200;submodule;motion;main;;https://github.com/gdsotirov/motion.SlackBuild.git
2006-01-27 21:24:00 +0200;submodule;cvsgraph;main;;https://github.com/gdsotirov/cvsgraph.SlackBuild.git
2006-02-10 21:37:45 +0200;submodule;mysql-connector-odbc;main;;https://github.com/gdsotirov/mysql-connector-odbc.SlackBuild.git
2006-02-18 16:21:47 +0200;files;etc/slack-package.conf;main;Add config from LinuxPackages.net with my changes;
2006-03-03 23:38:11 +0200;submodule;k3b-i18n;main;;https://github.com/gdsotirov/k3b-i18n.SlackBuild.git
